"Name","Address","Website","Description","Type","Cuisine","Hours","Price Range"
"St. Lawrence","269 Powell St., Vancouver, BC V6A 1G3","stlawrencerestaurant.com","A cozy 44-seat Québécois/French bistro that earned a Michelin star for refined French-Canadian cooking by Chef Jean-Christophe Poirier. Signature dishes include crispy maple-glazed pig’s ears and duck liver mousse éclair.","Fine Dining Bistro","French-Canadian (Québécois)","Tue–Sun 5:00 PM – 10:30 PM; closed Mon","$$$$ (tasting menu ~$125/person)"
"Published on Main","3593 Main St., Vancouver, BC V5V 3N4","publishedonmain.com","An innovative, upscale restaurant with retro-chic decor, known for carefully sourced seasonal cuisine and creative tasting menus. Honored as one of Vancouver’s first Michelin-starred spots.","Fine Dining (Contemporary/Seasonal)","Pacific Northwest Contemporary","Mon–Sun: 5:00 PM – 11:00 PM","$$$$ (tasting menus & à la carte)"
"AnnaLena","1809 W 1st Ave, Vancouver, BC V6J 5B8","annalena.ca","A Michelin-starred Kitsilano gem offering playful contemporary Canadian cuisine with inventive dishes and artistic presentation, blending local West Coast ingredients with avant-garde techniques.","Fine Dining (Intimate Bistro)","Contemporary Canadian","Wed–Sun 5:00 PM – 11:00 PM; closed Mon & Tue","$$$$ (prix-fixe or tasting menu)"
"Barbara","305 E Pender St, Vancouver, BC V6A 1T8","restaurantbarbara.com","An 8-seat micro restaurant in Chinatown that earned a Michelin star for its hyper-local tasting menu. Each course is crafted by Chef Patrick Hennessy in front of guests for an intimate chef’s-table experience.","Fine Dining (Chef’s Tasting Counter)","Contemporary / Pacific Northwest","Wed–Sun from 5:30 PM (two seatings); closed Mon & Tue","$$$$ (~$120 tasting menu)"
"Burdock & Co.","2702 Main St, Vancouver, BC V5T 3E8","burdockandco.com","A cozy Michelin-starred spot championing farm-to-table dining by Chef Andrea Carlson. Serves organic, locally sourced dishes with a rustic yet refined flair; beloved for seasonal small plates and natural wines.","Bistro (Farm-to-Table)","Pacific Northwest / Contemporary Canadian","Wed–Sun 5:30 PM – 10:00 PM; closed Mon & Tue","$$$ (small plates $15–$30)"
"iDen & QuanJuDe Beijing Duck House","2800–2850 Cambie St, Vancouver, BC V5Z 2V5","idengroup.com/quanjude","A Vancouver outpost of Beijing’s legendary roast duck restaurant, Michelin-starred for exceptional Chinese cuisine. Famous for Peking duck with table-side carving and refined Cantonese & Sichuan dishes.","Fine Dining","Chinese (Beijing & Cantonese)","Daily 11:30 AM – 3:00 PM; 5:00 PM – 10:00 PM","$$$$ (Duck tasting menus)"
"Kissa Tanto","263 E Pender St, Vancouver, BC V6A 1T8","kissatanto.com","A hidden Michelin-starred gem blending Japanese and Italian cuisine in a retro supper club setting. Known for inventive fusion dishes like carpaccio with yuzu or tonkotsu tagliatelle.","Upscale Bistro / Bar","Japanese-Italian Fusion","Tue–Sat 5:30 PM – 10:30 PM; closed Sun & Mon","$$$$ (small plates $15+, mains ~$30–$40)"
"Masayoshi","4376 Fraser St, Vancouver, BC V5V 4G3","masayoshi.ca","An intimate Michelin-starred sushi restaurant offering omakase experiences with Edomae-style sushi and seasonal Japanese dishes. Limited seats for a personalized journey of nigiri, sashimi, and cooked courses.","Fine Dining (Sushi Omakase)","Japanese (Sushi)","Tue–Sat 6:00 PM – 10:00 PM; closed Sun & Mon","$$$$ (~$150+ omakase)"
"Okeya Kyujiro","777 Thurlow St, Vancouver, BC V6E 3V5","okeyakyujiro.com","A Kyoto-style omakase kaiseki restaurant with a Michelin star. Chefs in traditional attire prepare elaborate multi-course meals featuring sashimi, grilled items, and delicate desserts in an immersive experience.","Fine Dining (Kaiseki/Omakase)","Japanese (Kaiseki)","Two seatings nightly (5:30 PM & 8:00 PM); closed Mon","$$$$ (Kaiseki set menu)"
"Joe Fortes Seafood & Chop House","777 Thurlow St (at Robson), Vancouver, BC V6E 3V5","joefortes.ca","Iconic Vancouver steak and seafood house known for its oyster bar, classic chops, and rooftop patio. Over 35 years of fresh seafood and steaks in a lively supper-club atmosphere with live piano music.","Upscale Casual Steakhouse/Seafood","Steak and Seafood","Daily 11:00 AM – 11:00 PM (brunch on weekends, happy hour 4–6 PM)","$$$ (entrées ~$25–$50)"
"Hawksworth Restaurant","801 W Georgia St, Vancouver, BC V6C 1P7","hawksworthrestaurant.com","Award-winning fine dining by Chef David Hawksworth in the Rosewood Hotel Georgia, serving contemporary Canadian cuisine with Asian influences. Known for sablefish, duck, and elegant plating.","Fine Dining (Hotel Restaurant)","Contemporary Canadian","Mon–Fri 11:30 AM – 2:30 PM; Daily 5:00 PM – 10:00 PM","$$$$ (mains $40+, tasting menu)"
"Nightingale","1017 W Hastings St, Vancouver, BC V6E 0C4","hawknightingale.com","A stylish two-level restaurant by David Hawksworth serving modern Canadian small plates, wood-fired pizzas, and farm-to-table dishes. Chic ambiance for after-work gatherings or dinner dates.","Upscale Casual (Lounge & Restaurant)","New Canadian / Fusion","Daily 11:30 AM – 11:00 PM (late bites on weekends)","$$$ (small plates $12–$20, mains ~$25–$35)"
"Blue Water Cafe","1095 Hamilton St, Vancouver, BC V6B 5T4","bluewatercafe.net","Widely recognized as Vancouver’s top seafood destination in a trendy Yaletown heritage warehouse. Offers a raw bar, sushi, and Ocean Wise seafood, plus fine dining service in a stylish setting.","Fine Dining & Raw Bar","Seafood (West Coast)","Daily: Bar from 4:30 PM; Dinner 5:00 PM – 10:30 PM (to 11:30 PM Thu–Sat)","$$$$ (entrees ~$40+)"
"Five Sails Restaurant","999 Canada Place #410 (Pan Pacific Hotel), Vancouver, BC V6C 3B5","glowbalgroup.com/fivesails","Elegant waterfront dining at Canada Place with panoramic views and European-inspired cuisine. Known for lobster bisque, mushroom tagliatelle, premium steaks, and romantic special-occasion vibe.","Fine Dining (Scenic Waterfront)","French Fusion / European","Wed–Sun 5:30 PM – 10:00 PM; closed Mon & Tue","$$$$ (mains ~$45–$60)"
"Botanist","1038 Canada Pl (Fairmont Pacific Rim), Vancouver, BC V6C 0B9","botanistrestaurant.com","A botanical-themed fine dining restaurant offering innovative Pacific Northwest cuisine and award-winning cocktails. Seasonal dishes, lush decor, and a world-renowned cocktail bar.","Fine Dining","Pacific Northwest / Contemporary","Breakfast 7:00 AM – 11:00 AM; Dinner Daily 5:00 PM – 10:00 PM; Weekend brunch 11:00 AM – 2:00 PM","$$$$ (entrees $35–$50)"
"Le Crocodile","909 Burrard St #100, Vancouver, BC V6Z 2N2","lecrocodilerestaurant.com","A legendary French restaurant operating for over 30 years, revered for classic French haute cuisine like Alsatian onion tart, foie gras, Dover sole, and impeccable soufflés.","Fine Dining","French","Mon–Fri 11:30 AM – 2:00 PM; Mon–Sat 5:00 PM – 10:00 PM; closed Sun","$$$$ (apps ~$20+, mains $40+)"
"Vij’s","3106 Cambie St, Vancouver, BC V5Z 2W2","vijs.ca","Groundbreaking Indian-fusion by Chef Vikram Vij with a no-reservations policy. Famous for creative spice blends, lamb ‘popsicles’ in fenugreek cream curry, and a warm, lively atmosphere.","Upscale Casual","Indian Fusion","Daily 5:00 PM – 10:00 PM (no reservations)","$$$ (mains ~$30)"
"Maenam","1938 W 4th Ave, Vancouver, BC V6J 1M5","maenam.ca","Modern Thai cuisine by Chef Angus An, featuring vibrant street-food-inspired flavors like green papaya salad, massaman curry, and whole fried fish with a contemporary twist.","Upscale Casual","Thai","Daily 5:00 PM – 10:00 PM; Fri–Sun 11:30 AM – 2:30 PM (lunch)","$$–$$$ (curries ~$22)"
"Phnom Penh","244 E Georgia St, Vancouver, BC V6A 1Z7","N/A","A Chinatown institution for Cambodian-Vietnamese cuisine. Legendary for butter beef, garlic butter chicken wings, and bold Southeast Asian flavors. Always a line-up.","Casual Family Restaurant","Cambodian & Vietnamese","Wed–Mon 10:00 AM – 9:00 PM; closed Tue","$$ (dishes ~$10–$20)"
"Ask For Luigi","305 Alexander St, Vancouver, BC V6A 1C4","askforluigi.com","A charming Italian trattoria (Bib Gourmand) serving homemade pastas and hearty plates. Cozy neighborhood vibe, known for ricotta gnocchi, bolognese, and weekend brunch.","Casual Trattoria","Italian","Daily 5:00 PM – 10:00 PM; Sat–Sun brunch 9:30 AM – 2:00 PM","$$ (pasta ~$20–$25)"
